"Time Scaled","S0 CASSCF 2R","S1 CASSCF 2R","S0 CASSCF 2R Scaled","S1 CASSCF 2R Scaled","S0 CASSCF 2R Scaled CASPT2","S1 CASSCF 2R Scaled CASPT2","S0 CASSCF Energy","S1 CASSCF Energy","S2 CASSCF Energy","S0 CASPT2 Energy","S1 CASPT2 Energy","S2 CASPT2 Energy","Scaled S0 CASSCF Energy","Scaled S1 CASSCF Energy","Scaled S2 CASSCF Energy","Scaled S0 CASPT2 Energy","Scaled S1 CASPT2 Energy","Scaled S2 CASPT2 Energy",,"S0 Mulliken Charge","S1 Mulliken Charge","S2 Mulliken Charge","Oscillator Strength S0S1","Oscillator Strength S0S2","Oscillator Strength S1S2","Reactive TORS","Reactive HOOP","HOOP in phase","TAU overlap","full-BLA","beta-BLA","rpsb-BLA"
350.8909,-869.130935732,-869.071080906,27.5,65.1,19.4,46,-869.129251,-869.068373,-869.029177,-871.891879,-871.838288,-871.804962,28.3,66.5,91.1,17,50.6,71.5,33.6,0.4243,0.351,0.5595,1.272037,0.58484,0.363345,-24.195,-18.48,-2.8575,-21.3375,-0.057,-0.074,0.051
352.0804,-869.129285175,-869.071151131,28.5,65,20.2,45.9,-869.127895,-869.06805,-869.028105,-871.890737,-871.838303,-871.803903,29.2,66.7,91.8,17.7,50.6,72.2,32.9,0.4321,0.3437,0.5597,1.238158,0.575834,0.379983,-24.327,-18.048,-3.1395,-21.1875,-0.059,-0.08,0.061
353.2699,-869.127810893,-869.071004696,29.5,65.1,20.8,46,-869.126477,-869.06731,-869.027001,-871.889636,-871.837993,-871.802914,30.1,67.2,92.5,18.4,50.8,72.8,32.4,0.4367,0.3372,0.5596,1.217249,0.564305,0.383754,-24.477,-17.622,-3.42749999999999,-21.0495,-0.06,-0.084,0.068
354.4593,-869.126315243,-869.070386945,30.4,65.5,21.5,46.3,-869.125215,-869.066363,-869.026072,-871.888689,-871.837429,-871.802099,30.9,67.8,93.1,19,51.1,73.3,32.1,0.438,0.332,0.5587,1.208505,0.553527,0.376596,-24.646,-17.212,-3.717,-20.929,-0.06,-0.085,0.071
355.6488,-869.125035372,-869.06950115,31.2,66,22,46.7,-869.124678,-869.065851,-869.025789,-871.888423,-871.837056,-871.801909,31.2,68.1,93.3,19.1,51.4,73.4,32.3,0.4337,0.3298,0.557,1.218907,0.544648,0.35776,-24.831,-16.827,-4.002,-20.829,-0.06,-0.085,0.07
356.8383,-869.124553119,-869.06894804,31.5,66.4,22.3,46.9,-869.125468,-869.066331,-869.026724,-871.889364,-871.837488,-871.802898,30.7,67.8,92.7,18.5,51.1,72.8,32.6,0.4261,0.3308,0.5547,1.242862,0.53781,0.332081,-25.034,-16.472,-4.28099999999999,-20.753,-0.058,-0.082,0.064
358.0277,-869.125465852,-869.069321902,30.9,66.2,21.9,46.8,-869.127296,-869.067496,-869.028531,-871.891226,-871.83848,-871.804786,29.6,67.1,91.5,17.4,50.5,71.6,33.1,0.4153,0.3337,0.5519,1.278669,0.531584,0.302126,-25.253,-16.154,-4.5495,-20.7035,-0.056,-0.078,0.055
359.2172,-869.127462383,-869.070322104,29.7,65.5,21,46.3,-869.129665,-869.068847,-869.030672,-871.893556,-871.839662,-871.807107,28.1,66.2,90.2,15.9,49.7,70.2,33.8,0.4038,0.3382,0.5488,1.324033,0.523409,0.270091,-25.489,-15.875,-4.807,-20.682,-0.054,-0.072,0.043
360.4066,-869.130023993,-869.071472123,28.1,64.8,19.8,45.8,-869.131838,-869.069664,-869.032461,-871.895713,-871.840514,-871.809269,26.7,65.7,89.1,14.6,49.2,68.8,34.6,0.3928,0.3432,0.5457,1.373337,0.512433,0.239654,-25.742,-15.64,-5.051,-20.691,-0.051,-0.065,0.029
361.5961,-869.132371457,-869.072096208,26.6,64.4,18.8,45.5,-869.134116,-869.070324,-869.03426,-871.898014,-871.841434,-871.811585,25.3,65.3,87.9,13.1,48.6,67.4,35.5,0.3838,0.3472,0.5433,1.424392,0.496641,0.211784,-26.008,-15.449,-5.2795,-20.7285,-0.047,-0.057,0.016
362.7856,-869.134794672,-869.072595516,25.1,64.1,17.7,45.3,-869.135725,-869.070124,-869.035308,-871.899663,-871.841716,-871.813233,24.3,65.4,87.3,12.1,48.4,66.3,36.3,0.3779,0.3503,0.5418,1.472065,0.477931,0.188233,-26.284,-15.308,-5.488,-20.796,-0.043,-0.049,0.004
363.975,-869.136481324,-869.072292878,24,64.3,17,45.4,-869.136764,-869.069336,-869.035744,-871.900645,-871.841394,-871.81414,23.6,65.9,87,11.5,48.7,65.8,37.2,0.3748,0.3518,0.5417,1.51747,0.455569,0.168256,-26.562,-15.219,-5.67150000000001,-20.8905,-0.039,-0.041,-0.004
365.1645,-869.137568207,-869.071444546,23.3,64.8,16.5,45.8,-869.137413,-869.068155,-869.035748,-871.900988,-871.840479,-871.814373,23.2,66.7,87,11.3,49.2,65.6,37.9,0.3732,0.3524,0.542,1.560178,0.431246,0.150261,-26.832,-15.186,-5.82299999999999,-21.009,-0.035,-0.033,-0.01
366.3539,-869.138211675,-869.070230586,22.9,65.6,16.2,46.4,-869.138078,-869.067096,-869.035832,-871.901104,-871.839444,-871.814312,22.8,67.3,87,11.2,49.9,65.6,38.7,0.375,0.3515,0.5437,1.595127,0.408127,0.135867,-27.086,-15.209,-5.93850000000001,-21.1475,-0.03,-0.026,-0.011
367.5434,-869.138851833,-869.069187332,22.5,66.2,15.9,46.8,-869.139171,-869.066609,-869.03645,-871.901451,-871.838762,-871.814438,22.1,67.6,86.6,11,50.3,65.6,39.3,0.3801,0.3491,0.5468,1.620036,0.388968,0.124946,-27.316,-15.289,-6.01350000000001,-21.3025,-0.025,-0.02,-0.008
368.7329,-869.139905717,-869.068761107,21.9,66.5,15.5,47,-869.140733,-869.066755,-869.037542,-871.902152,-871.838547,-871.814889,21.1,67.6,85.9,10.5,50.4,65.3,39.9,0.3858,0.3473,0.55,1.638439,0.373851,0.116177,-27.515,-15.421,-6.047,-21.468,-0.02,-0.016,0
369.9223,-869.141385847,-869.068983285,20.9,66.4,14.8,46.9,-869.14231,-869.067129,-869.038779,-871.902967,-871.838624,-871.815493,20.1,67.3,85.1,10,50.4,64.9,40.4,0.3939,0.3446,0.5544,1.645216,0.365952,0.111034,-27.681,-15.597,-6.042,-21.639,-0.016,-0.013,0.011
371.1118,-869.142859186,-869.069464562,20,66.1,14.1,46.7,-869.143645,-869.06749,-869.039945,-871.903774,-871.838892,-871.816197,19.3,67.1,84.4,9.5,50.2,64.5,40.7,0.4041,0.342,0.5589,1.638583,0.36708,0.109802,-27.812,-15.807,-6.00250000000001,-21.8095,-0.013,-0.011,0.024
372.3012,-869.144067067,-869.069956608,19.3,65.8,13.6,46.5,-869.144248,-869.067422,-869.040474,-871.904096,-871.838911,-871.816483,18.9,67.1,84,9.3,50.2,64.3,40.9,0.4142,0.3402,0.5634,1.620765,0.376634,0.112514,-27.908,-16.039,-5.9345,-21.9735,-0.01,-0.011,0.038
373.4907,-869.144537704,-869.070022509,19,65.7,13.4,46.4,-869.144057,-869.066971,-869.040362,-871.903854,-871.838664,-871.816329,19,67.4,84.1,9.5,50.4,64.4,40.9,0.424,0.3389,0.5662,1.591417,0.395297,0.119611,-27.968,-16.285,-5.8415,-22.1265,-0.009,-0.012,0.052
374.6802,-869.144228245,-869.069693375,19.1,65.9,13.5,46.6,-869.143265,-869.066451,-869.039707,-871.903148,-871.838254,-871.81575,19.5,67.7,84.5,9.9,50.6,64.7,40.7,0.4299,0.3389,0.5669,1.558626,0.418647,0.129977,-27.992,-16.538,-5.72699999999999,-22.265,-0.009,-0.015,0.063
375.8696,-869.14334801,-869.069241925,19.7,66.2,13.9,46.8,-869.142261,-869.06623,-869.03895,-871.902269,-871.837996,-871.815052,20.2,67.9,85,10.5,50.8,65.2,40.3,0.4336,0.3395,0.5663,1.520518,0.44611,0.144606,-27.979,-16.791,-5.59400000000001,-22.385,-0.01,-0.019,0.071
377.0591,-869.142291269,-869.069058301,20.4,66.3,14.4,46.9,-869.14034,-869.065745,-869.03728,-871.900513,-871.837218,-871.813363,21.4,68.2,86.1,11.6,51.3,66.2,39.7,0.4331,0.3418,0.5649,1.486672,0.471308,0.162241,-27.928,-17.038,-5.44499999999999,-22.483,-0.014,-0.024,0.074
378.2485,-869.140371871,-869.068560439,21.6,66.6,15.2,47.1,-869.138216,-869.06558,-869.0354,-871.898643,-871.836617,-871.811433,22.7,68.3,87.2,12.7,51.6,67.5,38.9,0.4293,0.3452,0.5634,1.456877,0.492996,0.182589,-27.837,-17.281,-5.27799999999999,-22.559,-0.019,-0.03,0.073
379.438,-869.138308083,-869.068334965,22.9,66.8,16.2,47.2,-869.136529,-869.066178,-869.03404,-871.897372,-871.83688,-871.810068,23.8,67.9,88.1,13.5,51.5,68.3,38,0.4255,0.3492,0.5628,1.424707,0.511939,0.207134,-27.708,-17.52,-5.09399999999999,-22.614,-0.025,-0.036,0.068
380.6275,-869.136702988,-869.068884279,23.9,66.4,16.9,47,-869.135382,-869.06754,-869.033174,-871.89688,-871.838011,-871.809378,24.5,67.1,88.6,13.8,50.8,68.7,37,0.4193,0.3542,0.5625,1.400774,0.5243,0.231656,-27.546,-17.755,-4.8955,-22.6505,-0.032,-0.043,0.06
381.8169,-869.135661504,-869.070154582,24.5,65.6,17.3,46.4,-869.134079,-869.068789,-869.032147,-871.896482,-871.839258,-871.808734,25.3,66.3,89.3,14.1,50,69.1,35.9,0.4122,0.359,0.5631,1.379129,0.532205,0.256813,-27.355,-17.986,-4.6845,-22.6705,-0.04,-0.05,0.05
383.0064,-869.134484191,-869.071286037,25.3,64.9,17.9,45.9,-869.132043,-869.069168,-869.030406,-871.895503,-871.839892,-871.807521,26.6,66,90.4,14.7,49.6,69.9,34.9,0.4064,0.3636,0.5643,1.358331,0.537487,0.282763,-27.143,-18.213,-4.465,-22.678,-0.048,-0.057,0.038
384.1959,-869.132580053,-869.071564807,26.5,64.7,18.7,45.8,-869.129318,-869.068617,-869.027977,-871.893825,-871.839679,-871.805645,28.3,66.4,91.9,15.7,49.7,71.1,34,0.4009,0.3674,0.5655,1.340471,0.540857,0.307604,-26.916,-18.432,-4.242,-22.674,-0.055,-0.063,0.027
385.3853,-869.129984154,-869.07091481,28.1,65.2,19.9,46.1,-869.126557,-869.067692,-869.025496,-871.891925,-871.83901,-871.803616,30,67,93.4,16.9,50.1,72.4,33.2,0.3954,0.3704,0.5658,1.327286,0.543525,0.329715,-26.68,-18.648,-4.01600000000001,-22.664,-0.061,-0.069,0.017
386.5748,-869.127335739,-869.069893654,29.7,65.8,21,46.5,-869.12439,-869.066942,-869.023604,-871.890318,-871.83835,-871.801972,31.4,67.4,94.6,18,50.6,73.4,32.6,0.3906,0.3725,0.5656,1.317827,0.546153,0.348026,-26.439,-18.862,-3.7885,-22.6505,-0.066,-0.074,0.009
387.7642,-869.125253072,-869.069064664,31.1,66.3,22,46.9,-869.122736,-869.066237,-869.022261,-871.88889,-871.837571,-871.800612,32.4,67.9,95.5,18.8,51,74.2,32.2,0.3878,0.3725,0.565,1.310331,0.548765,0.361656,-26.196,-19.072,-3.562,-22.634,-0.069,-0.077,0.005
388.9537,-869.123643104,-869.068323072,32.1,66.8,22.7,47.2,-869.121738,-869.065703,-869.021588,-871.88783,-871.836834,-871.799736,33.1,68.2,95.9,19.5,51.5,74.8,32,0.3873,0.3713,0.564,1.306247,0.550944,0.368354,-25.953,-19.283,-3.33500000000001,-22.618,-0.07,-0.08,0.004
390.1432,-869.12260878,-869.067799559,32.7,67.1,23.1,47.4,-869.1214,-869.065329,-869.021636,-871.887308,-871.836352,-871.799482,33.3,68.4,95.9,19.8,51.8,75,32,0.3905,0.3683,0.5637,1.300568,0.553202,0.369616,-25.714,-19.498,-3.108,-22.606,-0.07,-0.081,0.007
391.3326,-869.122190487,-869.067498661,33,67.3,23.3,47.6,-869.122415,-869.065815,-869.023055,-871.888101,-871.836896,-871.800648,32.6,68.1,95,19.3,51.5,74.2,32.2,0.397,0.3643,0.5635,1.294068,0.555742,0.365037,-25.48,-19.721,-2.87949999999999,-22.6005,-0.068,-0.081,0.014
392.5221,-869.123052323,-869.068111632,32.4,66.9,22.9,47.3,-869.124146,-869.066591,-869.025154,-871.88962,-871.837897,-871.802602,31.5,67.7,93.7,18.4,50.8,73,32.4,0.4059,0.3602,0.5636,1.288392,0.558471,0.355053,-25.256,-19.954,-2.651,-22.605,-0.065,-0.08,0.023
393.7115,-869.124587512,-869.069040012,31.5,66.3,22.2,46.9,-869.125925,-869.067063,-869.027256,-871.891172,-871.838728,-871.804634,30.4,67.4,92.3,17.4,50.3,71.7,32.9,0.4161,0.356,0.5634,1.282468,0.561377,0.342064,-25.048,-20.193,-2.42749999999999,-22.6205,-0.06,-0.078,0.034
394.901,-869.12616979,-869.069673461,30.5,65.9,21.5,46.6,-869.127394,-869.066962,-869.028896,-871.892293,-871.838943,-871.806189,29.5,67.4,91.3,16.7,50.2,70.7,33.5,0.4257,0.3532,0.5631,1.280044,0.564071,0.325788,-24.86,-20.435,-2.21250000000001,-22.6475,-0.055,-0.074,0.044
396.0905,-869.127473267,-869.069716212,29.7,65.9,21,46.6,-869.12892,-869.066858,-869.030403,-871.893347,-871.838917,-871.807532,28.5,67.5,90.4,16,50.2,69.9,34.2,0.4309,0.3506,0.5612,1.287249,0.56364,0.304892,-24.697,-20.672,-2.0125,-22.6845,-0.05,-0.071,0.052
397.2799,-869.128902323,-869.069675514,28.8,65.9,20.3,46.6,-869.130912,-869.067175,-869.032188,-871.894716,-871.839129,-871.809057,27.3,67.3,89.2,15.2,50.1,68.9,34.9,0.4335,0.3489,0.5588,1.302699,0.559599,0.282076,-24.56,-20.896,-1.83200000000001,-22.728,-0.045,-0.066,0.057
398.4694,-869.130835733,-869.070032774,27.6,65.7,19.5,46.4,-869.133114,-869.067771,-869.034016,-871.896231,-871.839472,-871.810563,25.9,66.9,88.1,14.2,49.9,68,35.7,0.4332,0.3474,0.5564,1.326023,0.550636,0.258927,-24.449,-21.099,-1.67500000000001,-22.774,-0.041,-0.061,0.059
399.6588,-869.133040028,-869.07062785,26.2,65.3,18.5,46.2,-869.135227,-869.068387,-869.035562,-871.897714,-871.839788,-871.811847,24.6,66.5,87.1,13.3,49.7,67.2,36.4,0.4296,0.3459,0.5533,1.35787,0.536046,0.235857,-24.362,-21.278,-1.542,-22.82,-0.037,-0.056,0.057
400.8483,-869.135201815,-869.071206174,24.8,65,17.5,45.9,-869.136761,-869.068512,-869.036409,-871.898779,-871.839801,-871.812617,23.6,66.5,86.6,12.6,49.6,66.7,37,0.4269,0.3456,0.5522,1.389537,0.518584,0.217185,-24.293,-21.433,-1.43000000000001,-22.863,-0.034,-0.051,0.053
402.0378,-869.136788361,-869.071308007,23.8,64.9,16.8,45.9,-869.137951,-869.068424,-869.03685,-871.899739,-871.839825,-871.813218,22.9,66.5,86.3,12,49.6,66.3,37.6,0.4241,0.346,0.5519,1.419826,0.50015,0.201821,-24.241,-21.566,-1.33750000000001,-22.9035,-0.031,-0.045,0.046
403.2272,-869.138046465,-869.071194314,23,65,16.3,45.9,-869.138538,-869.067878,-869.036647,-871.900266,-871.839525,-871.813346,22.5,66.9,86.4,11.7,49.8,66.3,38.1,0.4215,0.3472,0.5528,1.448184,0.481935,0.18966,-24.204,-21.68,-1.262,-22.942,-0.029,-0.04,0.038
404.4167,-869.138703567,-869.070612315,22.6,65.3,16,46.2,-869.138738,-869.067124,-869.036069,-871.900458,-871.839014,-871.813118,22.4,67.3,86.8,11.6,50.1,66.4,38.5,0.4191,0.35,0.5547,1.473638,0.465307,0.180448,-24.18,-21.774,-1.203,-22.977,-0.027,-0.035,0.029
405.6061,-869.13897961,-869.069812499,22.4,65.8,15.9,46.5,-869.138376,-869.066018,-869.035005,-871.900004,-871.83799,-871.81226,22.6,68,87.5,11.9,50.8,66.9,38.9,0.4163,0.3529,0.5571,1.495762,0.451122,0.173645,-24.17,-21.85,-1.16,-23.01,-0.026,-0.03,0.022
406.7956,-869.138694324,-869.068649883,22.6,66.6,16,47.1,-869.137912,-869.065028,-869.033982,-871.899287,-871.836855,-871.811199,22.9,68.6,88.1,12.3,51.5,67.6,39.2,0.414,0.3557,0.5594,1.513003,0.440578,0.16908,-24.176,-21.904,-1.136,-23.04,-0.025,-0.026,0.015
407.9851,-869.138306159,-869.067599837,22.9,67.2,16.2,47.5,-869.137755,-869.064559,-869.033507,-871.898748,-871.836076,-871.810432,23,68.9,88.4,12.7,52,68.1,39.3,0.4127,0.3579,0.562,1.521018,0.435841,0.16753,-24.199,-21.934,-1.13250000000001,-23.0665,-0.024,-0.023,0.011
409.1745,-869.13821159,-869.067088776,22.9,67.6,16.2,47.7,-869.138465,-869.06521,-869.034044,-871.899028,-871.836244,-871.810569,22.6,68.5,88.1,12.5,51.9,68,39.4,0.4098,0.3595,0.5633,1.529252,0.433129,0.165718,-24.237,-21.935,-1.151,-23.086,-0.024,-0.021,0.009
410.364,-869.138953666,-869.067672525,22.5,67.2,15.9,47.5,-869.139644,-869.066589,-869.035353,-871.899925,-871.837255,-871.811471,21.8,67.7,87.3,11.9,51.2,67.4,39.3,0.4085,0.3602,0.5645,1.526036,0.43707,0.167406,-24.29,-21.909,-1.1905,-23.0995,-0.023,-0.02,0.011
411.5535,-869.140151392,-869.069018324,21.7,66.3,15.3,46.9,-869.1406,-869.068008,-869.036726,-871.900853,-871.838539,-871.812555,21.2,66.8,86.4,11.3,50.4,66.7,39.1,0.4097,0.3594,0.5657,1.510369,0.44799,0.172824,-24.355,-21.854,-1.25049999999999,-23.1045,-0.024,-0.021,0.015
412.7429,-869.141104498,-869.070444202,21.1,65.4,14.9,46.3,-869.140911,-869.069095,-869.037623,-871.901405,-871.839667,-871.813377,21,66.1,85.8,11,49.7,66.2,38.7,0.4115,0.3593,0.5667,1.488154,0.463327,0.18117,-24.429,-21.773,-1.328,-23.101,-0.024,-0.023,0.021
413.9324,-869.141374926,-869.071540652,20.9,64.8,14.8,45.8,-869.140451,-869.069754,-869.037885,-871.901401,-871.840491,-871.81371,21.3,65.7,85.7,11,49.2,66,38.2,0.4142,0.3591,0.5671,1.458125,0.482921,0.193746,-24.511,-21.669,-1.42099999999999,-23.09,-0.026,-0.027,0.028
415.1218,-869.140859515,-869.072220026,21.3,64.3,15,45.5,-869.139063,-869.069853,-869.03729,-871.900568,-871.84074,-871.813226,22.2,65.6,86,11.5,49.1,66.3,37.6,0.4166,0.3592,0.5674,1.423806,0.504082,0.210272,-24.599,-21.54,-1.5295,-23.0695,-0.029,-0.033,0.036
416.3113,-869.139422738,-869.072339975,22.2,64.3,15.7,45.4,-869.137052,-869.069661,-869.035999,-871.899069,-871.84053,-871.811985,23.4,65.7,86.9,12.5,49.2,67.1,36.7,0.4178,0.3596,0.5671,1.390361,0.523924,0.230338,-24.695,-21.387,-1.654,-23.041,-0.033,-0.04,0.043
417.5008,-869.137368613,-869.07216171,23.5,64.4,16.6,45.5,-869.134517,-869.069253,-869.034111,-871.896991,-871.839932,-871.81002,25,66,88,13.8,49.6,68.3,35.8,0.4174,0.3589,0.5665,1.35818,0.540246,0.254127,-24.799,-21.207,-1.79600000000001,-23.003,-0.038,-0.048,0.047
418.6902,-869.134843866,-869.07175364,25,64.6,17.7,45.7,-869.131484,-869.068462,-869.031526,-871.894316,-871.838789,-871.807323,26.9,66.5,89.7,15.4,50.3,70,34.9,0.4148,0.3596,0.5659,1.334066,0.551226,0.278128,-24.912,-20.996,-1.958,-22.954,-0.044,-0.057,0.05
419.8797,-869.131823328,-869.070947737,26.9,65.1,19,46,-869.128976,-869.068181,-869.029329,-871.892199,-871.838199,-871.805079,28.5,66.7,91,16.8,50.7,71.4,33.9,0.4112,0.3591,0.5651,1.31381,0.557321,0.302699,-25.038,-20.748,-2.14500000000001,-22.893,-0.05,-0.066,0.05
421.0691,-869.129359008,-869.070642348,28.5,65.3,20.1,46.2,-869.127224,-869.068446,-869.027781,-871.890947,-871.838364,-871.803663,29.6,66.5,92,17.6,50.6,72.3,33,0.4074,0.3577,0.5634,1.29619,0.559676,0.326716,-25.173,-20.463,-2.355,-22.818,-0.056,-0.074,0.048
422.2586,-869.127665846,-869.070886928,29.5,65.2,20.9,46.1,-869.126134,-869.06899,-869.026778,-871.890495,-871.839101,-871.803057,30.3,66.2,92.6,17.8,50.1,72.7,32.3,0.4037,0.3564,0.5616,1.283824,0.559152,0.346731,-25.314,-20.144,-2.58499999999999,-22.729,-0.062,-0.081,0.043
423.4481,-869.126616957,-869.071427684,30.2,64.8,21.3,45.8,-869.124894,-869.068958,-869.025614,-871.889981,-871.839483,-871.802438,31.1,66.2,93.4,18.2,49.8,73.1,31.6,0.4005,0.3546,0.5593,1.274639,0.557065,0.3615,-25.457,-19.796,-2.8305,-22.6265,-0.067,-0.087,0.038
424.6375,-869.125426985,-869.071389165,30.9,64.9,21.9,45.8,-869.123615,-869.068311,-869.024401,-871.889329,-871.839332,-871.80177,31.9,66.6,94.1,18.6,49.9,73.5,31.3,0.3981,0.3527,0.5566,1.269654,0.555458,0.369006,-25.596,-19.425,-3.0855,-22.5105,-0.07,-0.091,0.032
425.827,-869.12416409,-869.070756255,31.7,65.3,22.4,46.1,-869.122852,-869.067587,-869.023719,-871.888929,-871.838988,-871.801453,32.4,67,94.6,18.8,50.2,73.7,31.4,0.3962,0.3512,0.5533,1.269563,0.555609,0.367845,-25.728,-19.043,-3.3425,-22.3855,-0.071,-0.092,0.027
427.0164,-869.123393798,-869.070053762,32.2,65.7,22.8,46.4,-869.12313,-869.067283,-869.024096,-871.889166,-871.838803,-871.801887,32.2,67.2,94.3,18.7,50.3,73.4,31.6,0.3958,0.35,0.5504,1.274667,0.558301,0.357808,-25.848,-18.658,-3.59500000000001,-22.253,-0.071,-0.091,0.023
428.2059,-869.123634489,-869.069777197,32.1,65.9,22.7,46.6,-869.124429,-869.067375,-869.025509,-871.889999,-871.838752,-871.803033,31.4,67.2,93.4,18.2,50.3,72.7,32.1,0.3965,0.3486,0.5472,1.284162,0.563367,0.340552,-25.956,-18.284,-3.836,-22.12,-0.069,-0.088,0.02
429.3954,-869.124870968,-869.069907746,31.3,65.8,22.1,46.5,-869.126341,-869.067507,-869.027517,-871.891109,-871.83856,-871.804549,30.2,67.1,92.2,17.5,50.4,71.8,32.9,0.3986,0.3476,0.5436,1.298594,0.569384,0.317297,-26.051,-17.933,-4.059,-21.992,-0.064,-0.083,0.02
430.5848,-869.126697738,-869.070086275,30.2,65.7,21.3,46.4,-869.129071,-869.067925,-869.030284,-871.892859,-871.838649,-871.80678,28.5,66.8,90.4,16.4,50.4,70.4,34,0.4025,0.3461,0.5409,1.317669,0.574263,0.289949,-26.133,-17.619,-4.25700000000001,-21.876,-0.058,-0.076,0.022
431.7743,-869.129319622,-869.070557388,28.5,65.4,20.1,46.2,-869.132672,-869.068831,-869.033821,-871.89551,-871.839407,-871.80991,26.2,66.3,88.2,14.7,49.9,68.4,35.2,0.4072,0.3438,0.5388,1.34151,0.574896,0.260436,-26.204,-17.354,-4.425,-21.779,-0.051,-0.068,0.026
432.9637,-869.132806086,-869.07152419,26.3,64.8,18.6,45.8,-869.136902,-869.070151,-869.037825,-871.898941,-871.840829,-871.813727,23.5,65.4,85.7,12.5,49,66,36.5,0.4122,0.3414,0.5375,1.371694,0.567724,0.229579,-26.261,-17.15,-4.5555,-21.7055,-0.043,-0.059,0.032
434.1532,-869.136929478,-869.072900652,23.7,63.9,16.8,45.2,-869.140195,-869.070544,-869.040745,-871.901621,-871.841569,-871.816639,21.5,65.2,83.9,10.9,48.5,64.2,37.6,0.4175,0.3378,0.5382,1.4062,0.551135,0.200402,-26.302,-17.018,-4.642,-21.66,-0.035,-0.049,0.037
435.3427,-869.140140459,-869.073363304,21.7,63.6,15.3,45,-869.142226,-869.069963,-869.042204,-871.903165,-871.841366,-871.818148,20.2,65.5,83,9.9,48.7,63.2,38.8,0.4206,0.3342,0.5403,1.449122,0.523497,0.17306,-26.322,-16.965,-4.6785,-21.6435,-0.028,-0.04,0.043
436.5321,-869.142135973,-869.072826343,20.5,64,14.5,45.2,-869.14285,-869.068455,-869.042112,-871.90335,-871.840118,-871.818048,19.8,66.5,83,9.8,49.5,63.3,39.7,0.4215,0.3309,0.5438,1.495935,0.488433,0.149874,-26.317,-16.999,-4.65900000000001,-21.658,-0.021,-0.032,0.046
437.7216,-869.142763657,-869.071343815,20.1,64.9,14.2,45.9,-869.143043,-869.067116,-869.041503,-871.903105,-871.838829,-871.817333,19.7,67.3,83.4,9.9,50.3,63.7,40.4,0.4206,0.3291,0.548,1.540791,0.452163,0.132261,-26.287,-17.121,-4.583,-21.704,-0.016,-0.025,0.048
438.9111,-869.142999086,-869.070001423,19.9,65.7,14.1,46.5,-869.142912,-869.066143,-869.040556,-871.90256,-871.837634,-871.816201,19.8,67.9,84,10.3,51,64.5,40.7,0.4171,0.3295,0.5518,1.577978,0.421237,0.120786,-26.231,-17.332,-4.4495,-21.7815,-0.013,-0.019,0.048
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36.6167741935484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,36.6644736842105,,,,,,,,,,,,,
